Line;Well;Eggs
Bra (WT);A1;33
Bra (WT);A2;0
Bra (WT);A3;0
Bra (WT);A4;53
Bra (WT);A5;96
Bra (WT);A6;7
Bra (WT);B1;7
Bra (WT);B2;0
Bra (WT);B3;44
Bra (WT);B4;94
Bra (WT);B5;71
Bra (WT);B6;73
Bra (WT);C1;0
Bra (WT);C2;5
Bra (WT);C3;0
Bra (WT);C4;7
Bra (WT);C5;0
Bra (WT);C6;57
Bra (WT);D1;13
Bra (WT);D2;2
Bra (WT);D3;2
Bra (WT);D4;67
Bra (WT);D5;0
Bra (WT);D6;4
Aaeg-M;A1;9
Aaeg-M;A2;0
Aaeg-M;A3;50
Aaeg-M;A4;0
Aaeg-M;A5;34
Aaeg-M;A6;0
Aaeg-M;B1;58
Aaeg-M;B2;57
Aaeg-M;B3;16
Aaeg-M;B4;0
Aaeg-M;B5;66
Aaeg-M;B6;9
Aaeg-M;C1;50
Aaeg-M;C2;2
Aaeg-M;C3;69
Aaeg-M;C4;20
Aaeg-M;C5;0
Aaeg-M;C6;8
Aaeg-M;D1;77
Aaeg-M;D2;2
Aaeg-M;D3;5
Aaeg-M;D4;3
Aaeg-M;D5;17
Aaeg-M;D6;0
Aaeg-CS;A1;71
Aaeg-CS;A2;1
Aaeg-CS;A3;62
Aaeg-CS;A4;87
Aaeg-CS;A5;83
Aaeg-CS;A6;48
Aaeg-CS;B1;62
Aaeg-CS;B2;72
Aaeg-CS;B3;48
Aaeg-CS;B4;0
Aaeg-CS;B5;129
Aaeg-CS;B6;0
Aaeg-CS;C1;0
Aaeg-CS;C2;59
Aaeg-CS;C3;57
Aaeg-CS;C4;42
Aaeg-CS;C5;48
Aaeg-CS;C6;95
Aaeg-CS;D1;NA
Aaeg-CS;D2;NA
Aaeg-CS;D3;0
Aaeg-CS;D4;70
Aaeg-CS;D5;114
Aaeg-CS;D6;72
Aaeg-m;A1;44
Aaeg-m;A2;48
Aaeg-m;A3;73
Aaeg-m;A4;15
Aaeg-m;A5;1
Aaeg-m;A6;0
Aaeg-m;B1;0
Aaeg-m;B2;52
Aaeg-m;B3;69
Aaeg-m;B4;35
Aaeg-m;B5;3
Aaeg-m;B6;6
Aaeg-m;C1;87
Aaeg-m;C2;11
Aaeg-m;C3;57
Aaeg-m;C4;55
Aaeg-m;C5;32
Aaeg-m;C6;4
Aaeg-m;D1;0
Aaeg-m;D2;1
Aaeg-m;D3;NA
Aaeg-m;D4;NA
Aaeg-m;D5;NA
Aaeg-m;D6;NA
